Key,Name,Link ID,Tags,Ideas
google/gsoc2012/n52,52¢XNorth Initiative for Geospatial Open Source Software GmbH,n52,"geo, geospatial, linked data, java, gis, earth observation, geoprocessing, spatial data, geostatistics, sensor web, http",https://wiki.52north.org/bin/view/Main/GSoC2012IdeasPage
google/gsoc2012/abiword,abiword,abiword,word processor,http://www.abisource.com/wiki/Google_Summer_of_Code_2012#Project_Ideas
google/gsoc2012/ankur_india,Ankur India,ankur_india,"Bengali, language computing, keyboard layout, desktop testing, translation, translation editor, terminology tools",http://ankur.org.in/projects/project-ideas/
google/gsoc2012/apache,Apache Software Foundation,apache,"c, java, python, c++, perl, opensource, apache, erlang",http://s.apache.org/gsoc2012ideas
google/gsoc2012/apertium,Apertium,apertium,"nlp, c++, java, machine translation",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code
google/gsoc2012/articast,Artica ST,articast,"spain, spanish, monitoring, pandorafms, php, mysql, perl, android, java",http://openideas.info/wiki/index.php?title=Google_Summer_of_Code_2012
google/gsoc2012/ascend,ASCEND,ascend,"c, python, science, gui, gtk, c++, simulation, engineering, swig, math",http://ascend4.org/Student_Projects
google/gsoc2012/wesnoth,Battle For Wesnoth,wesnoth,"ai_development, graphical_user_interfaces, ai, lua, multiplayer, game_development, c++, game_engine, game, games, graphics, sdl, artificial_intelligence, user_interface_design, server, scripting, extensibility",http://wiki.wesnoth.org/SummerOfCodeIdeas
google/gsoc2012/benetech,Benetech,benetech,"android, java, accessibility, education, literacy, ebook, hfoss, social good",https://github.com/benetech/FBReaderJ/wiki/Google-Summer-of-Code-Ideas-Page
google/gsoc2012/berkman,Berkman Center for Internet & Society at Harvard University,berkman,"rails, php, perl, visualization, twitter, sms, libraries",http://cyber.law.harvard.edu/gsoc/Main_Page
google/gsoc2012/biographer,biographer,biographer,"network, visualization, bioinformatics, layout, SVG, HTML, JavaScript, python, C++, tablet, pad, gestures, touchscreen, SBGN, SBML, databases",http://gsoc12.biographer.googlecode.com/hg/index.html
google/gsoc2012/blender,Blender Foundation,blender,"opencl, opengl, python, c, rendering, fluid_simulation, bullet_physics, video_editing, animation, sculpting, 3d, game_engine, cloth_simulation, modeling, fur, painting, texturing, c++, simulation, games, compositing, non_linear_editing, model, physics",http://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2012/Ideas
google/gsoc2012/bloomington,"Bloomington, IN",bloomington,"open311, open source, community source, android, ios, kuali, java, javascript",http://bloomington.in.gov/documents/viewDocument.php?document_id=6580
google/gsoc2012/bluez,BlueZ,bluez,,http://www.bluez.org/development/gsoc/gsoc-ideas-list/
google/gsoc2012/boinc,"BOINC project, University of California, Berkeley",boinc,,http://boinc.berkeley.edu/trac/wiki/DevProjects
google/gsoc2012/brlcad,BRL-CAD,brlcad,"computer graphics, scientific computing, engineering analysis, visualization, CAD, CSG, SMP, signal processing, 3d, engine, 3d modeling, benchmark, raytracing, image processing, graphics, framebuffer, geometry conversion, computer vision, computer-aided design, symmetric multiprocessing, geometry, brlcad, ray tracing, constructive solid geometry, analysis, graphics conversion, mesh, solid modeling, web development, high-perforamnce computing, math, science, tcl, c, c++",http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas
google/gsoc2012/buildbot,Buildbot,buildbot,"python, continuous integration",http://trac.buildbot.net/wiki/ProjectIdeas
google/gsoc2012/catroidproject,Catroid Project,catroidproject,"scratch, testdriven, children, web, educational, web_interface, java, agile, selenium, pedagogical, html, music, robotium, android, web_development, web2.0, javascript, js, html5, php, animation, kids, programming, ide, unittests, usability",http://goo.gl/FD2Sl
google/gsoc2012/cernsft,CERN SFT,cernsft,"cloud computing, grid computing, distributed systems, filesystems, virtualization, simulations, high performance computing, performance tuning, science, research, threading, GPU programming, multi core, c, c++, perl, python, bash, jabber, xmpp",http://sftweb.cern.ch/gsoc12
google/gsoc2012/cgal,CGAL - Computational Geometry Algorithms Library,cgal,"geometry, triangulations, c++, graphs, arrangements, generic-programming, multi-processing, linear-algebra, minkowski-sums",http://www.cgal.org/project_ideas.html
google/gsoc2012/climatecode,Climate Code Foundation,climatecode,"climate, science, climate-science, python, numpy, scipy, matplotlib, visualization, open-science, clarity",http://code.google.com/p/ccc-gistemp/wiki/GSoC2012
google/gsoc2012/clojure,Clojure/dev,clojure,"clojure, lisp, scheme, javascript, compilers, debuggers, code optimization, android, web-dev, music, logic programming, app-engine, datavis, code editors",http://dev.clojure.org/display/community/
google/gsoc2012/cmusphinx,CMUSphinx,cmusphinx,"speech recognition, machine learning, java, c, nlp",http://cmusphinx.sourceforge.net/wiki/summerofcodeideas
google/gsoc2012/codeforamerica,Code for America,codeforamerica,"python, javascript, js, json, html, design, html5, research, ruby, css, user_interface_design, gov20",https://docs.google.com/spreadsheet/ccc?key=0AvYYucBzoMJFdEtSVGs2YWhvY2VORkRkVk90NmNLOEE
google/gsoc2012/cse_tuwien,Computational Science and Engineering at TU Wien,cse_tuwien,"science, research, dlvhex, hex, gdal, geospacial data, most, building automation, moveonpc, playstation move controller, nomacs, image viewer, openengsb, engineering tools, openpixi, particle-in-cell simulator, pi3diamond, open hardware, r, statistics, resk, resoluation proofs, viennacl, GPU computing, viennamesh, meshing",http://www.iue.tuwien.ac.at/cse/ideas.html
google/gsoc2012/connexions,Connexions,connexions,"Python, Android, Slideshare, HTML, CSS, Plone, XML, XSLT, Java, JavaScript, Google Doc Presentation, OER, Open Education",https://trac.rhaptos.org/trac/rhaptos/wiki/Google%20Summer%20of%20Code%202012/Projects
google/gsoc2012/cc,Creative Commons,cc,,http://wiki.creativecommons.org/Summer_of_Code_2012
google/gsoc2012/scripps_crowdbio,Crowdsourcing Biology,scripps_crowdbio,"biology, crowdsourcing, python, django, java, mediawiki, javascript, css, html5, jquery, mongoDB, semantic web, RDF, mobile, cloud computing",http://sulab.org/gsoc/
google/gsoc2012/crystalspace,Crystal Space,crystalspace,"3d engine, game engine, c++, opengl, bullet, game logic, cross platform, python, animation, landscape, particles, rendering, simulation, 3d, opengles",http://www.crystalspace3d.org/trac/CS/wiki/SoC%20Ideas
google/gsoc2012/dbpediaspotlight,DBpedia Spotlight,dbpediaspotlight,"nlp, semantic web, entity linking, linked data, machine learning, java, scala, disambiguation, term recognition",http://wiki.dbpedia.org/spotlight/gsoc2012/ideas/
google/gsoc2012/debian,Debian Project,debian,"virtualization, os, linux, distributions, web, compilers, init_system, qa, quality_assurance, perl, shell_scripting, web_development, python, bsd, php, distribution, bash, c, operating_system, database, science, debian, c++, sh, security",http://wiki.debian.org/SummerOfCode2012/Projects
google/gsoc2012/bmi_cci,"Dept. of Biomedical Informatics, Emory University",bmi_cci,"biomedical, healthcare, informatics, dicom, cloud, nosql, hdf5, big data, data mining, web services, map reduce, ysmart, hadoop, xacml",https://web.cci.emory.edu/confluence/display/GSOC/Ideas+2012
